,word,freq
0,aargh,-0.7063772903620852
1,aarti,-0.759729515797844
2,abaca,-0.6592752373511516
3,aback,-0.12838975255756283
4,abaft,-1.2750798837614432
5,abase,-1.0910271490485142
6,abate,0.10697297082226873
7,abaya,-0.6352857376915197
8,abbas,0.5892477932224274
9,abbes,-1.1551350132885332
10,abbey,1.0548706816752906
11,abbot,0.42925685382162493
12,abeam,-1.3194178203675238
13,abele,-0.7616793842749516
14,abets,-1.040702306805124
15,abhor,-0.33497169485308276
16,abide,1.0002296449332178
17,abies,-0.29632377666381465
18,abled,-0.47445747739547484
19,abler,-1.0858110482307413
20,ables,-0.1623483761442329
21,ablow,-1.3596469336597012
22,abode,0.527668141520275
23,abord,-0.6469404268074043
24,abort,0.6272827122369713
25,about,3.5043177543978232
26,above,2.5726644619235888
27,abram,0.21957947578231504
28,abray,-1.4121272972485153
29,abris,-1.228864553788906
30,abuse,1.9834872743578764
31,abuts,-0.5351168782345614
32,abuzz,-0.5538056313928519
33,abyss,0.4937546209761416
34,acari,-0.6576392014581468
35,acers,-1.0542572579066412
36,achar,-1.0515254365895317
37,ached,-0.3779591059116364
38,aches,0.48013808773869
39,achoo,-1.0385750570358319
40,acids,1.3714975890215473
41,acing,-1.003832148439171
42,acini,-1.1713445013531691
43,acker,-0.06277610970105713
44,acnes,-0.9116827216707833
45,acorn,0.6924718965594767
46,acres,1.5787333279115887
47,acrid,-0.5424551742955441
48,acros,-0.7291951734600959
49,acted,1.0790554085245907
50,actin,0.5641774119145943
51,acton,0.5487901969534975
52,actor,1.6375801277704365
53,acute,1.4732038699784105
54,adage,0.0569319646271503
55,adapt,1.0986511075120515
56,adays,-1.4124984385465915
57,adbot,-1.2662126804794311
58,addax,-1.350651752269101
59,added,2.4945188278243786
60,adder,0.3816460721625728
61,addio,-0.8230487741504077
62,addle,-1.3738121094055213
63,adept,0.634217921360277
64,adhan,-0.9913414943874469
65,adieu,-0.12550802758098303
66,adios,-0.023149777501536954
67,adits,-1.445505261165864
68,adman,-1.0709651622657348
69,admin,2.001741067460228
70,admit,1.3708446501195513
71,admix,-1.3104814857880007
72,adobe,1.8645428921458933
73,adobo,-0.6946880610195671
74,adopt,1.4787374964235944
75,adore,0.5025956080100664
76,adorn,0.10138019410958807
77,adown,-1.3766504955096053
78,adult,2.4109637100199475
79,aedes,-0.3235056721227793
80,aegis,0.5620378419863266
81,aeons,-0.5977220728069085
82,aerie,-0.5326403882871147
83,aeros,-0.42488443277763177
84,aesir,-1.0396699999901533
85,afars,-1.3410526421858817
86,affix,0.08191790139231978
87,afire,-0.5063082947390218
88,afoot,-0.0035142521263617776
89,afore,-0.2809829683136158
90,afoul,-0.35977241498767254
91,afros,-1.1616636956856259
92,after,2.990048138249084
93,again,2.598901844855351
94,agama,-0.7225616930663671
95,agami,-1.2835816295692974
96,agape,0.052075103779703785
97,agate,0.3871953281978763
98,agave,-0.07025813405594836
99,agent,2.179527705995446
100,agers,-0.3074049048550286
101,agger,-1.1216323253937461
102,aggie,0.22373201856259226
103,aggro,-0.3294513796313137
104,agila,-0.7503571447560519
105,agile,0.6885035189651393
106,aging,1.5062597541231324
107,agios,-0.20213630410087813
108,aglet,-1.225239220374359
109,aglow,-0.5195848199826556
110,agony,0.6198773435264626
111,agood,-1.1652795284864883
112,agora,0.3348007898450392
113,agree,2.1000037024367004
114,agrin,-1.179800561130171
115,ahead,1.877468155142732
116,ahigh,-1.4466088362890248
117,ahold,-0.09336008102891889
118,aided,0.9501074709936885
119,aider,-0.41376672217975935
120,aides,0.6393902196959275
121,aight,-0.45794204015460294
122,ailed,-1.242257086583488
123,aimed,1.428318099235991
124,aimer,-0.575807480889813
125,aioli,-0.6334066194879819
126,aired,0.7650298095381316
127,airer,-1.0007321044898654
128,airth,-1.1101109852507414
129,aisle,0.7136317351842296
130,aitch,-1.102300527857309
131,ajuga,-1.0658596178443274
132,akela,-1.1058000477907128
133,aking,-0.5374240146342893
134,akita,0.07827116749793123
135,alack,-0.9696968102591816
136,alamo,0.7655862425283358
137,aland,0.37453449333208305
138,alane,-1.0196004142743929
139,alang,-0.8770834033774497
140,alans,-1.026685070185204
141,alarm,1.6577127848371387
142,alary,-1.4346544441126996
143,albee,-0.1855019265149049
144,album,2.3137418397610965
145,aldea,-0.8842729812427583
146,alder,0.42059716244855233
147,aldol,-1.0459673888740344
148,aleck,-0.7166212156997877
149,aleph,0.2734895501790605
150,alert,1.9357253062683535
151,alfas,-1.179295354352975
152,algae,0.7464424086757849
153,algal,0.14231866259275253
154,algas,-1.0000409248857522
155,algor,-0.6591292002097793
156,algum,-1.2311561040840406
157,alias,1.2810326223861186
158,alibi,0.08635788704164522
159,alien,1.4476928606908273
160,align,1.1671127645018915
161,alike,1.2219795580930435
162,aline,-0.13736211766078024
163,alist,-0.1324378934088687
164,alive,1.6317556626905603
165,aliya,-0.6233246046618829
166,alkyd,-0.5539158236900186
167,alkyl,0.23785261542681232
168,allay,-0.2552176737247365
169,allee,-0.2521042972836401
170,allel,-0.9596691586336542
171,alley,1.0860829709843431
172,allis,0.214614820182843
173,allot,0.03273891930546125
174,allow,2.248897125503527
175,alloy,1.1663391615394103
176,allyl,-0.4455199226126677
177,almas,-0.8721847322232794
178,almes,-0.908482436546388
179,aloes,-0.7384785095965335
180,aloft,0.13080249161976562
181,aloha,0.7527716784999042
182,alone,2.0184353899755547
183,along,2.3433604984294645
184,aloof,-0.09582747476051193
185,aloud,1.0026648457506921
186,alpha,1.869130782106572
187,altar,0.849785569693262
188,alter,1.3214257798807088
