,word,freq
0,aback,-1.0626516198838676
1,abase,-2.1367682628297806
2,abate,-0.8000324662618541
3,abbey,0.25763754609064676
4,abbot,-0.44042615578117056
5,abhor,-1.2931570034899533
6,abide,0.19666874603527576
7,abled,-1.4487960852763693
8,abode,-0.33061824435348264
9,abort,-0.2194677024394154
10,about,2.990745439485428
11,above,1.951201047640956
12,abuse,1.2937935698977556
13,abyss,-0.3684591561756573
14,acorn,-0.14672921536617806
15,acrid,-1.52466832771012
16,actor,0.9078282786906284
17,acute,0.7244162537234032
18,adage,-0.855868524345477
19,adapt,0.30648801065595743
20,adept,-0.21172935405527069
21,admin,1.314161262904072
22,admit,0.6102032156572117
23,adobe,1.161074707131227
24,adopt,0.7305907076582745
25,adore,-0.35859432924516
26,adorn,-0.8062729204237937
27,adult,1.770774368364112
28,affix,-0.8279890646269027
29,afire,-1.484335420362294
30,afoot,-0.9233147794512266
31,afoul,-1.32082979736926
32,after,2.41692028405271
33,again,1.9804768785790452
34,agape,-0.861287839123535
35,agate,-0.4873586610680552
36,agent,1.512536672004316
37,agile,-0.15115715514403144
38,aging,0.7613002096517365
39,aglow,-1.4991494477174143
40,agony,-0.22773065774128026
41,agree,1.4238033067231541
42,ahead,1.1754967939418632
43,aider,-1.381076972671991
44,aisle,-0.12311893914821018
45,alarm,0.9302924194988863
46,album,1.6622936161265358
47,alert,1.2405004763489114
48,algae,-0.08650859075325758
49,alibi,-0.8230349017221934
50,alien,0.6959509149010937
51,align,0.38287794257060925
52,alike,0.44409864348682243
53,alive,0.9013293052439729
54,allay,-1.2041669832101605
55,alley,0.2924644077246381
56,allot,-0.882863270984551
57,allow,1.589939490840087
58,alloy,0.3820147516951433
59,aloft,-0.7734433424907232
60,alone,1.332788889175173
61,along,1.6953422950303452
62,aloof,-1.0263184329107296
63,aloud,0.19938595787069757
64,alpha,1.1661939025632069
65,altar,0.028802334822814114
66,alter,0.5550613406452699
67,amass,-1.2585166569539064
68,amaze,-0.5494069955659089
69,amber,0.7216657428431833
70,amble,-1.3789311962308377
71,amend,0.5535516993603892
72,amiss,-1.0653627382726025
73,amity,-0.7334025697931836
74,among,1.6952662489678734
75,ample,0.12190423895125109
76,amply,-0.9837317181556104
77,amuse,-0.720647631680207
78,angel,1.1200996044116631
79,anger,0.5647902238249873
80,angle,0.9290543730240145
81,angry,0.6362098624400709
82,angst,-0.3361307221460684
83,anime,1.2233075535260103
84,ankle,0.24864860429727276
85,annex,0.5926105967588267
86,annoy,-0.2421183394837066
87,annul,-1.3625214070217495
88,anode,-0.5634421300029311
89,antic,-1.3577875701503928
90,anvil,-0.46828245446916245
91,aorta,-0.6511089669198227
92,apart,0.9144214138072436
93,aphid,-1.0249333688136018
94,aping,-1.9585068689036182
95,apnea,-0.4612582471303757
96,apple,1.4537975462835115
97,apply,1.652465388174432
98,apron,-0.2051125680647515
99,aptly,-0.684317800026284
100,arbor,0.34430759413915035
101,ardor,-1.3345060554477486
102,arena,0.8338763739870333
103,argue,0.586174974686938
104,arise,0.5852214257539493
105,armor,0.4268348216291467
106,aroma,-0.09826847590922394
107,arose,0.025340991603531815
108,array,1.1173460528903534
109,arrow,0.7428659439032961
110,arson,-0.44198291454304817
111,artsy,-0.9660685636526685
112,ascot,-0.49366495864525917
113,ashen,-1.2506981606810972
114,aside,0.7513559389213312
115,askew,-0.7969519480025387
116,assay,0.2135126424041046
117,asset,0.9609078124337112
118,atoll,-0.4830852464108112
119,atone,-1.341878488841868
120,attic,0.14544018529394317
121,audio,1.8978115106793538
122,audit,1.0255052385276913
123,augur,-1.4555920111284224
124,aunty,-1.1255561137260284
125,avail,0.21941263794465432
126,avert,-0.5643919556715161
127,avian,0.07248764565407033
128,avoid,1.2969525066289618
129,await,-0.16834217454320619
130,awake,0.12828613927329086
131,award,1.5335789746844555
132,aware,1.1277776235823356
133,awash,-1.0603597153843163
134,awful,0.35932871463767513
135,awoke,-0.6166863459961128
136,axial,-0.18534177101974578
137,axiom,-0.2428724867077096
138,axion,-1.0571577280130935
139,azure,-0.41687672071555143
140,bacon,0.3745876811690403
141,badge,0.43820578935847887
142,badly,0.36600456820332467
143,bagel,-0.5487688345084594
144,baggy,-0.8552721643093657
145,baker,0.8638394144539199
146,baler,-1.3390531964137702
147,balmy,-1.186877932414602
148,banal,-1.085784963297542
149,banjo,-0.11728368351673557
150,barge,-0.30305374207444535
151,baron,0.16755190058392602
152,basal,-0.14776327445072868
153,basic,1.703335165232796
154,basil,0.05200012915908607
155,basin,0.6984353568227366
156,basis,1.5355886006989317
157,baste,-1.5693692569058355
158,batch,0.5552897814960008
159,bathe,-0.7764469532887759
160,baton,0.2581975369640188
161,batty,-0.8595016514910102
162,bawdy,-1.3180019081827206
163,bayou,-0.2753692769682243
164,beach,1.8090197887964115
165,beady,-1.6082672490215257
166,beard,0.11866936756500714
167,beast,0.8614042548333644
168,beech,-0.02976677619158335
169,beefy,-0.9200908016827466
170,befit,-2.110624243987156
171,began,1.3196590361430178
172,begat,-1.2339101569562976
173,beget,-1.4593941538208923
174,begin,1.402372509554
175,begun,0.6022171584301947
176,being,2.2100400250538152
177,belch,-1.4785961117665767
178,belie,-1.529649746731752
179,belle,0.4120075645048505
180,belly,0.5242517203128263
181,below,1.9639608432205578
182,bench,0.6216769285372818
183,beret,-0.9708350795799339
184,berry,0.5375510998200771
185,berth,-0.41055899780952065
186,beset,-0.9108451729170997
187,betel,-1.4351140056782559
188,bevel,-0.7060521588521326
189,bezel,-0.18319925596732972
190,bible,1.3986011583932785
